class,sheet,row,section,desc_old,desc_new,price_old,price_new,note
REFUSED (Michael's ruling),Manni DF,174,?,0661-0631 RIVETS,0661-0631 RIVETS,0.5150,0.5150,
REFUSED (Michael's ruling),Sheet1,39,3MM3CR12 KICK PLATES,EXT GRP SKIN 2*300 CSM,Rhinotex 1150 BW,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,40,3MM3CR12 KICK PLATES,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,41,3MM3CR12 KICK PLATES,20MM EPS,20MM EPS,41.2,41.2,
REFUSED (Michael's ruling),Sheet1,42,3MM3CR12 KICK PLATES,80 DV UNRETHANE,80 DV UNRETHANE,228.65420134228185,228.65420134228185,
REFUSED (Michael's ruling),Sheet1,43,3MM3CR12 KICK PLATES,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,44,3MM3CR12 KICK PLATES,4 MM PLYWOOD,4 MM PLYWOOD,71.47651006711409,68.79194630872483,
REFUSED (Michael's ruling),Sheet1,45,3MM3CR12 KICK PLATES,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,46,3MM3CR12 KICK PLATES,19MM PHONO BONDED PLYWOOD,19MM PHONO BONDED PLYWOOD,316.77852348993287,223.15436241610738,
REFUSED (Michael's ruling),Sheet1,47,3MM3CR12 KICK PLATES,100*19mm PICTURE FRAME,100*19mm PICTURE FRAME,68.30601092896174,46.27732240437159,
REFUSED (Michael's ruling),Sheet1,48,3MM3CR12 KICK PLATES,INT GRP SKIN 1*450 CSM,Rhinotex 1150 BW,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,54,?,EXT GRP SKIN 2*300 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,55,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,56,?,20MM EPS,20MM EPS,41.2,41.2,
REFUSED (Michael's ruling),Sheet1,57,?,80DV URETHANE,80DV URETHANE,228.65420134228185,228.65420134228185,
REFUSED (Michael's ruling),Sheet1,58,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,59,?,4 MM PLYWOOD,4 MM PLYWOOD,71.47651006711409,68.79194630872483,
REFUSED (Michael's ruling),Sheet1,60,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,61,?,19MM PHONO BONDED PLYWWOD,19MM PHONO BONDED PLYWWOD,316.77852348993287,223.15436241610738,
REFUSED (Michael's ruling),Sheet1,62,?,INT GRP SKIN 1*450 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,63,?,DOOR BLOCKS,DOOR BLOCKS,264.50775000000004,268.01775000000004,
REFUSED (Michael's ruling),Sheet1,73,?,30258 NEW DOOR CAPPING,30258 NEW DOOR CAPPING,106.14,106.14,
REFUSED (Michael's ruling),Sheet1,74,?,2316 INNER DOOR RUBBER,2316 INNER DOOR RUBBER,24.72,24.72,
REFUSED (Michael's ruling),Sheet1,75,?,2317 OUTER DOOR RUBBER,2317 OUTER DOOR RUBBER,60.18,60.18,
REFUSED (Michael's ruling),Sheet1,88,?,EXT GRP SKIN 2*300 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,89,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,90,?,20MM EPS,20MM EPS,41.2,41.2,
REFUSED (Michael's ruling),Sheet1,91,?,80 DV URETHANE,80 DV URETHANE,228.65420134228185,228.65420134228185,
REFUSED (Michael's ruling),Sheet1,92,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
