sheet,section,row,desc_old,desc_new,price_old,price_new,total_old,total_new,desc_changed,price_changed,total_changed,highlighted
Manni TRAILERS,FRONT,35,Bioshield 4800,Rhinotex 2100 Bioshield,295.39,295.39,2102.66518452,2102.66518452,True,False,False,False
Manni TRAILERS,SRD,51,Rhinopanel V2,Crystex V2,272.27,272.27,1938.09082836,1938.09082836,True,False,False,False
Manni TRAILERS,SRD,53,Bioshiled 4800,Rhinotex 2100 Bioshield,295.39,295.39,2102.66518452,2102.66518452,True,False,False,False
Manni TRAILERS,DRD,83,Rhinopanel V2,Crystex V2,272.27,272.27,1860.2292319200003,1860.2292319200003,True,False,False,False
Manni TRAILERS,DRD,85,Bioshield 4800,Rhinitex 2100 Bioshield,295.39,295.39,2018.1919154400002,2018.1919154400002,True,False,False,False
Manni TRAILERS,SIDES,111,Rhinopanel V2,Crystex V2,272.27,272.27,11360.738019999999,11360.738019999999,True,False,False,False
Manni TRAILERS,SIDES,113,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,2023.4545454545453,2305.272727272727,False,True,True,False
Manni TRAILERS,SIDES,114,Bioshield 4800,Rhinotex 2100 Bioshield,295.39,295.39,12325.44314,12325.44314,True,False,False,False
Manni TRAILERS,ROOF,121,Rhinotex 2400,Rhinotex 1150 BW,240.09,213.11,9675.627,8588.333000000002,True,True,True,False
Manni TRAILERS,ROOF,123,Bioshield 4800,Rhinotex 2100 Bioshield,295.39,295.39,11904.217,11904.217,True,False,False,False
Manni TRAILERS,FLOOR,130,Rhinotex 2400,Rhinotex 1150 BW,272.27,213.11,10972.481,8588.333000000002,True,True,True,False
Manni TRAILERS,FLOOR,132,PLYWOOD,PLYWOOD,725,735,0,0,False,True,False,False
Manni TRAILERS,FLOOR,133,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,671.1409395973154,454.6979865771812,27046.979865771813,18324.328859060406,False,True,True,False
Manni TRAILERS,FLOOR,134,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,0,0,False,True,False,False
Manni TRAILERS,FLOOR,140,76*50 LVL BEAMS,76*50 LVL BEAMS,130.54545454545453,148.72727272727272,13185.625931445602,15022.064083457524,False,True,True,False
Manni TRAILERS,FLOOR,141,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,0,0,False,True,False,False
Manni DF,?,35,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,1029.0748,1496.0322,False,True,True,False
Manni DF,?,36,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,875.7200152380954,909.4015542857145,False,False,True,False
Manni DF,?,37,100*19mm PICTURE FRAME,100*19mm PICTURE FRAME,24.760928961748633,25.102459016393443,257.5136612021858,266.08606557377055,False,True,True,False
