scenario_id,sheet,trailer_id,trailer_name,variant,length,width,height,section_excel,section_mes,excel_total,mes_total,variance_pct,status,reason,likely_cause,accepted_reason
UP_TO_5.5_CHILLER_AND_2.~L5.8~W2.3~H2.3~all_pu,UP TO 5.5 CHILLER AND 2.3 WIDE,26,CHILLER MEDIUM,all_pu,5.8,2.3,2.3,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,3129.9508,3129.75,0.006,PASS,,,
UP_TO_5.5_CHILLER_AND_2.~L5.8~W2.3~H2.3~all_pu,UP TO 5.5 CHILLER AND 2.3 WIDE,26,CHILLER MEDIUM,all_pu,5.8,2.3,2.3,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
UP_TO_5.5_CHILLER_AND_2.~L5.8~W2.3~H2.3~all_pu,UP TO 5.5 CHILLER AND 2.3 WIDE,26,CHILLER MEDIUM,all_pu,5.8,2.3,2.3,REFLEXITE TAPE,REFLEXITE TAPE,250.2,250.2,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,FRONT,FRONT,5227.241456,5217.9,0.179,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,SRD,,0.0,,,SKIP,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,DRD,DRD,5994.22456,5874.34,2.0,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 2 MES line(s) (-120.00),"[DATA] 130*62MM TAPPING BLOCKS: Excel 2 x R234 per size (R936 a double door) vs MES 6 x R68 per size (R816): R60 per size, 1-3 % of the door section."
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,DRD DOOR FITTINGS,DRD DOOR FITTINGS,5983.98526,5983.99,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,SIDES,SIDES,18012.316594,17991.71,0.114,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,ROOF,ROOF,9061.806534,9039.92,0.242,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,FLOOR,FLOOR,34797.93237,34797.9,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,ALUMINIUM,ALUMINIUM,6671.728,6671.73,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,8324.848808,7959.45,4.389,ACCEPTED,,MISSING_IN_MES 1MM GALV PLATE (-239.72),[DATA] Excel line 1MM GALV PLATE (R157-R240) has no MES line on this body.
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,4633.7716,4633.77,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,4.2,2.5,2.4,REFLEXITE TAPE,REFLEXITE TAPE,196.2,196.2,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,FRONT,FRONT,3649.523745,4377.13,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,SRD,,0.0,,,SKIP,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,DRD,DRD,4416.116435,4296.23,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,DRD DOOR FITTINGS,DRD DOOR FITTINGS,5920.59594,5920.6,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,SIDES,SIDES,12528.681635,15090.99,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,ROOF,ROOF,7530.703377,7508.81,0.291,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,FLOOR,FLOOR,33266.829214,33266.8,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,ALUMINIUM,ALUMINIUM,6671.728,6671.73,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,8324.848808,7959.45,4.389,ACCEPTED,,MISSING_IN_MES 1MM GALV PLATE (-239.72),[DATA] Excel line 1MM GALV PLATE (R157-R240) has no MES line on this body.
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,4633.7716,4633.77,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L4.2~W2.5~H2.4~all_eps, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,all_eps,4.2,2.5,2.4,REFLEXITE TAPE,REFLEXITE TAPE,196.2,196.2,0.0,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L5.6~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,5.6,2.5,2.4,FRONT,FRONT,5227.241456,5217.9,0.179,PASS,,,
UP_TO_4.8_MT_FREEZER_2~L5.6~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,5.6,2.5,2.4,SRD,,0.0,,,SKIP,,,
UP_TO_4.8_MT_FREEZER_2~L5.6~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,5.6,2.5,2.4,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_4.8_MT_FREEZER_2~L5.6~W2.5~H2.4~as_sheet, UP TO 4.8 MT FREEZER  (2,20,FREEZER MEDIUM,as_sheet,5.6,2.5,2.4,DRD,DRD,5994.22456,5874.34,2.0,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 2 MES line(s) (-120.00),"[DATA] 130*62MM TAPPING BLOCKS: Excel 2 x R234 per size (R936 a double door) vs MES 6 x R68 per size (R816): R60 per size, 1-3 % of the door section."
