kind,sheet,row,trailer,section,bom_id,desc_before,desc_after,eff_before,eff_after,override_before,override_after,override_reset,override_provenance,material_before,material_after,mat_disposition,pu_rule,manifest_price_old,drift_note
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,145,CHILLER LARGE,FLOOR,3389,100*50 timber,100*50 LVL Beam,128.674,146.59498207885304,,,False,,136,NEW#50,REPOINT_CREATED,,128.67383512544802,
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,146,CHILLER LARGE,FLOOR,3390,2*300 INT LAMINATION,2*300 INT LAMINATION,31.9395,50.153999999999996,,,False,,137,NEW#40,REPOINT_CREATED,,100.30799999999999,DB was 31.9395 vs Aug sheet 100.30799999999999 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,31,CHILLER LARGE,FRONT,3312,4MM PF PLYWOOD,4MM PF PLYWOOD,71.48,68.79194630872483,71.48,,True,,96,NEW#42,REPOINT_CREATED,,71.47651006711409,
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,33,CHILLER LARGE,FRONT,3314,58 MM PICTURE FRAME,58 MM PICTURE FRAME,36.3205,37.28646144505161,,,False,,97,97,IN_PLACE,,38.09979477838494,DB was 36.3205 vs Aug sheet 38.09979477838494 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,34,CHILLER LARGE,FRONT,3315,INT GRP SKIN 1*450,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,98,128,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,125,CHILLER LARGE,ROOF,3374,EXT GRP SKIN 1*450,Rhinotex 1150 BW,282.54,213.11,,,False,,125,125,IN_PLACE,,267.84,DB was 282.54 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,130,CHILLER LARGE,ROOF,3379,INT GRP SKIN 1*450,Rhinotex 1150 Bioshield,282.5,222.76,,,False,,128,128,IN_PLACE,,267.84,DB was 282.5 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,131,CHILLER LARGE,ROOF,3380,94 MM PICTURE FRAME,94 MM PICTURE FRAME,42.4329,44.40719477838495,,,False,,129,129,IN_PLACE,,45.22052811171828,DB was 42.4329 vs Aug sheet 45.22052811171828 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,115,CHILLER LARGE,SIDES,3369,4MM PF PLYWOOD,4MM PF PLYWOOD,71.48,68.79194630872483,71.48,,True,,121,NEW#42,REPOINT_CREATED,,71.47651006711409,
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,117,CHILLER LARGE,SIDES,3371,INT GRP SKIN 1*450,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,122,128,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,118,CHILLER LARGE,SIDES,3372,58 MM PICTURE FRAME,58 MM PICTURE FRAME,36.3205,37.28646144505161,,,False,,123,123,IN_PLACE,,38.09979477838494,DB was 36.3205 vs Aug sheet 38.09979477838494 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,77,CHILLER LARGE,SIDES,3364,EXT GRP SKIN 2*300,Rhinotex 1150 BW,264.37,213.11,,,False,,118,125,REPOINT_EXISTING,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,26,CHILLER LARGE,SRD,3316,EXT GRP SKIN 2*300,Rhinotex 1150 BW,256.5,213.11,256.5,,True,,290,125,REPOINT_EXISTING,,272.27,DB was 256.5 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,45,CHILLER LARGE,SRD,3321,4MM PF PLYWOOD,4MM PF PLYWOOD,95.64,86.57718120805369,95.64,,True,,293,NEW#37,REPOINT_CREATED,,95.63758389261746,
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,47,CHILLER LARGE,SRD,3323,INT GRP SKIN 1*450,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,294,128,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,41,CHILLER MEDIUM,DRD,3202,EXT GRP SKIN 2*300,Rhinotex 1150 BW,264.37,213.11,,,False,,99,125,REPOINT_EXISTING,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,83,CHILLER MEDIUM,DRD,3207,4MM PF PLYWOOD,4MM PF PLYWOOD,71.48,68.79194630872483,71.48,,True,,102,NEW#42,REPOINT_CREATED,,71.47651006711409,
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,85,CHILLER MEDIUM,DRD,3209,INT GRP SKIN 2*300,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,174,174,IN_PLACE,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,126,CHILLER MEDIUM,FLOOR,3242,EXT GRP SKIN 2*300,Rhinotex 1150 BW,282.53,213.11,,,False,,131,125,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,144,CHILLER MEDIUM,FLOOR,3247,12MM PF PLYWOOD,12MM PF PLYWOOD,162.75,267.7852348993289,162.75,,True,last override batch 2026-08-17 16:01:37.584067,179,NEW#60,REPOINT_CREATED,,354.0268456375839,DB was 162.75 vs Aug sheet 354.0268456375839 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,146,CHILLER MEDIUM,FLOOR,3249,228*50 TIMBER,228*50 TIMBER,128.674,146.59498207885304,,,False,,181,181,IN_PLACE,,128.67383512544802,
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,147,CHILLER MEDIUM,FLOOR,3250,100*50 timber,100*50 LVL Beam,128.674,146.59498207885304,,,False,,136,NEW#50,REPOINT_CREATED,,128.67383512544802,
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,148,CHILLER MEDIUM,FLOOR,3251,2*300 INT LAMINATION,2*300 INT LAMINATION,31.9395,50.153999999999996,,,False,,137,NEW#40,REPOINT_CREATED,,100.30799999999999,DB was 31.9395 vs Aug sheet 100.30799999999999 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,32,CHILLER MEDIUM,FRONT,3172,4MM PF PLYWOOD,4MM PF PLYWOOD,71.48,68.79194630872483,71.48,,True,,96,NEW#42,REPOINT_CREATED,,71.47651006711409,
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,34,CHILLER MEDIUM,FRONT,3174,58 MM PICTURE FRAME,58 MM PICTURE FRAME,36.3205,37.28646144505161,,,False,,97,97,IN_PLACE,,38.09979477838494,DB was 36.3205 vs Aug sheet 38.09979477838494 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,35,CHILLER MEDIUM,FRONT,3175,INT GRP SKIN 1*450,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,98,128,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,111,CHILLER MEDIUM,ROOF,3234,EXT GRP SKIN 2*300,Rhinotex 1150 BW,282.53,213.11,,,False,,177,125,REPOINT_EXISTING,,272.27,DB was 282.53 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,131,CHILLER MEDIUM,ROOF,3239,INT GRP SKIN 2*300,Rhinotex 1150 Bioshield,282.53,222.76,282.53,,True,last override batch 2026-07-04 16:44:48.105622,178,178,IN_PLACE,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,132,CHILLER MEDIUM,ROOF,3240,94 MM PICTURE FRAME,94 MM PICTURE FRAME,45.22,44.40719477838495,45.22,,True,,129,129,IN_PLACE,,45.22052811171828,
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,116,CHILLER MEDIUM,SIDES,3229,4MM PF PLYWOOD,4MM PF PLYWOOD,71.48,68.79194630872483,71.48,,True,,121,NEW#42,REPOINT_CREATED,,71.47651006711409,
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,118,CHILLER MEDIUM,SIDES,3231,INT GRP SKIN 2*300,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,176,176,IN_PLACE,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,119,CHILLER MEDIUM,SIDES,3232,58 MM PICTURE FRAME,58 MM PICTURE FRAME,36.3205,37.28646144505161,,,False,,123,123,IN_PLACE,,38.09979477838494,DB was 36.3205 vs Aug sheet 38.09979477838494 (pre-existing drift)
LINE_UPDATE,UP TO 5.5 CHILLER AND 2.3 WIDE,78,CHILLER MEDIUM,SIDES,3224,EXT GRP SKIN 2*300,Rhinotex 1150 BW,264.37,213.11,,,False,,118,125,REPOINT_EXISTING,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
